Parameter,param_key,|S| RMSE Natural,|S| R² Natural,|S| RMSE Pumping,|S| R² Pumping,Avg |S|
GHB North Head,ghb_north_head,265.090751105234,1123.71444453338,48.6361582878203,76.87265815534562,378.57850302044494
GHB South Head,ghb_south_head,188.77151749126503,588.0223222926746,33.02760627465017,40.19673055653241,212.50454415378056
K (Sandy Gravel),sandy_gravel,0.03526882080884085,0.007948618220232214,0.3757605607256625,0.1396800216397577,0.13966450534862332
K (Limestone),limestone,0.2435247097382179,0.05472350038752974,0.049973602058659534,0.01763099901992685,0.09146320280108351
K (Clayey Sand),clayey_sand,0.15589713423310317,0.03514413368415463,0.04506950754929305,0.015892068653479422,0.06300071103000757
K (Sandstone),sandstone,0.15876589216532025,0.036022573263366615,0.03874374060377844,0.013670991308306115,0.061800799335192856
Initial Head,initial_head,0.09720458315802169,0.03613577955179876,0.038770842460400155,0.018334240988953285,0.04761136153979347
River Conductance,riv_cond,0.05462406281337198,0.012310639546910626,0.06041636115817879,0.02127793747583609,0.03715725024857437
K (Loamy Sand),loamy_sand,0.07731961405500902,0.0173529798173438,0.011599553734372959,0.004088428084917215,0.027590143922910752
K (Clean Gravel),clean_gravel,0.02633084904455495,0.005919476372564433,0.00427946042340111,0.0015078591859049373,0.009509411256606358
