,P1_RMSE,P1_R2,Pz12_RMSE,Pz12_R2,Overall_RMSE,Overall_R2
sy_clean_gravel,-0.06660496566431796,0.06509321789264719,0.0646619825809019,-0.0678936681970777,-0.06664548995555301,0.056155639498950374
sy_clayey_sand,-0.022344361995062685,0.023735165868468334,-0.13132376064997778,0.13485114407114823,-0.14129151668341294,0.1993543771147099
sy_loamy_sand,0.00584824954880554,-0.00602349801522024,-0.008999867549592703,0.00957163034304252,0.0032695753668846046,-0.0015103510904333952
sy_sandy_gravel,0.9980258734448497,-0.9997592940830046,-0.9767931065535796,0.9579438068823026,0.9925072052383831,-0.957557219317631
sy_sandstone,,,,,,
sy_limestone,,,,,,
ss_clean_gravel,-7.337219572564016e-05,0.0006213317831580984,-0.003610763232506563,0.005821634180533809,-0.0029352869800552454,0.007786856323842357
ss_clayey_sand,-0.04029997750132761,0.04026290863926302,0.03959549228755741,-0.03804467090925401,-0.03995830202475124,0.039162041121408586
ss_loamy_sand,0.029342064998101824,-0.030109216933626233,-0.026060133916745404,0.024060881614574748,0.031245530156390824,-0.03420545513564945
ss_sandy_gravel,0.09476502873142552,-0.09486962093883942,-0.08856135264486584,0.08732979086234363,0.0974958529961766,-0.09486807683182463
ss_sandstone,-0.001908129359532636,0.003684055770565409,-0.0001333857753202549,0.010794771912343881,-0.0034528148351672065,0.019582825762665585
ss_limestone,-0.015549094705358507,0.012918711536104653,0.024932466732772548,-0.03017959028992699,-0.007912667641845637,-0.007577111990284008
