time (s);P1;Pz12,time (s),P1,Pz12
1;0.00;0.00,1,0,0
60;0.41;0.00,60,0.41,0
130;0.56;0.01,130,0.56,0.01
215;0.64;0.01,215,0.64,0.01
317;0.70;0.02,215,0.64,0.01
439;0.74;0.02,317,0.7,0.02
585;0.78;0.03,439,0.74,0.02
761;0.82;0.03,585,0.78,0.03
972;0.85;0.04,761,0.82,0.03
1224;0.88;0.04,972,0.85,0.04
1892;0.93;0.06,1224,0.88,0.04
2854;0.98;0.07,1892,0.93,0.06
4238;1.03;0.09,2854,0.98,0.07
6232;1.08;0.11,4238,1.03,0.09
9104;1.13;0.14,6232,1.08,0.11
13238;1.18;0.16,9104,1.13,0.14
19192;1.23;0.19,13238,1.18,0.16
27765;1.27;0.23,19192,1.23,0.19
48192;1.35;0.28,27765,1.27,0.23
83488;1.43;0.35,48192,1.35,0.28
144481;1.51;0.42,83488,1.43,0.35
249877;1.60;0.49,144481,1.51,0.42
432001;1.68;0.56,432001,1.68,0.56
