time (s);conc (µg/l)
1;0
50.97563142;1.11E-55
110.9463891;-1.22E-55
182.9112984;-1.06E-50
269.2691894;-1.10E-48
372.8986587;-7.17E-47
497.2540219;-2.57E-45
646.4804577;-6.06E-44
825.5521807;-6.67E-43
1040.438248;1.59E-41
1298.301529;6.46E-40
1607.737467;1.47E-38
1979.060591;1.21E-37
2424.648341;-6.64E-36
2959.35364;-3.18E-34
3601;-5.53E-33
3653.962837;-5.92E-33
3717.518241;-6.44E-33
3793.784725;-7.13E-33
3885.304507;-8.07E-33
3995.128245;-9.40E-33
4126.916731;-1.13E-32
4285.062914;-1.42E-32
4474.838333;-1.88E-32
4702.568836;-2.64E-32
4975.84544;-4.03E-32
5303.777365;-6.81E-32
5697.295675;-1.27E-31
6169.517646;-2.38E-31
6736.184012;-1.42E-31
7416.183651;1.54E-30
8232.183218;1.55E-29
9211.382698;9.63E-29
10386.42207;1.77E-28
11796.46933;-1.92E-26
13488.52603;-2.45E-25
15518.99407;1.36E-25
17955.55572;6.48E-24
20879.4297;6.93E-24
24388.07848;-9.04E-21
28598.45701;-1.18E-19
33650.91125;4.57E-20
39713.85634;1.66E-18
46989.39044;6.31E-18
55720.03136;-1.82E-15
66196.80047;-1.35E-14
78768.9234;9.44E-15
93855.47092;3.65E-14
111959.3279;-4.52E-11
133683.9564;-2.29E-10
159753.5105;8.10E-11
191036.9754;5.56E-10
228577.1333;-1.97E-07
273625.3228;-3.96E-06
327683.1502;-8.16E-06
392552.5431;2.00E-06
470395.8146;1.96E-05
563807.7403;1.02E-04
675902.0512;3.68E-04
810415.2243;9.96E-04
971831.032;2.12E-03
1165530.001;3.64E-03
1397968.764;5.18E-03
1676895.28;6.19E-03
2011607.099;6.30E-03
2413261.282;5.50E-03
2895246.301;4.14E-03
3473628.324;2.70E-03
4167686.751;1.53E-03
5000556.864;7.60E-04
6000001;3.32E-04
